Date,Adani enterprises_Open,Adani enterprises_High,Adani enterprises_Low,Adani enterprises_Close,Adani enterprises_Adj Close,Adani enterprises_Volume,D-mart_Open,D-mart_High,D-mart_Low,D-mart_Close,D-mart_Adj Close,D-mart_Volume,,,,,,,,,,,,,,,
21-11-2022,4019.949951,4019.95,3921.95,4001.85,4001.85,1492003,3923,3936,3871.05,3882.3,3882.3,204061,,,,,,,,,,,,,,,
22-11-2022,4001.850098,4056,3988,4034,4034,1705043,3884.95,4026,3883,3955.2,3955.2,504844,,,,,,,,,,,,,,,
23-11-2022,4050,4061.85,3873,3903.3,3903.3,2861156,3975,3998.6,3934.25,3954.75,3954.75,182631,,,,,,,,,,,,,,,
24-11-2022,3910,3935,3821,3921.1,3921.1,2797181,3974.35,3994.75,3951.1,3968.05,3968.05,155797,,,,,,,,,,,,,,,
25-11-2022,3929,3949.9,3845.3,3901.1,3901.1,2506346,3969,3977.05,3901,3904.45,3904.45,291850,,,,,,,,,,,,,,,
28-11-2022,3899.399902,3925,3871.4,3886.15,3886.15,1119166,3913.4,3934,3890,3907.7,3907.7,228975,,,,,,,,,,,,,,,
29-11-2022,3885,3915,3864.05,3878.4,3878.4,1513444,3907,3977.55,3898,3965.1,3965.1,344369,,,,,,,,,,,,,,,
30-11-2022,3897.800049,3939.9,3867,3917.9,3917.9,1968428,3975,4040,3955,4025.5,4025.5,604666,,,,,,,,,,,,,,,
01-12-2022,3937.5,3944.95,3902.45,3915.1,3915.1,945838,4041,4064,4032.1,4044.15,4044.15,255279,,,,,,,,,,,,,,,
02-12-2022,3905,3963.8,3885,3922.5,3922.5,1297832,4049,4055,3992.55,4005.75,4005.75,222148,,,,,,,,,,,,,,,
05-12-2022,3928.899902,3939,3810.05,3930.4,3930.4,2392866,4010,4049.95,3975,4028.15,4028.15,217716,,,,,,,,,,,,,,,
06-12-2022,3920,4057,3909,4031.8,4031.8,2962621,4018,4094,3995,4063.4,4063.4,224614,,,,,,,,,,,,,,,
07-12-2022,4031,4057.9,3984.55,3999.3,3999.3,1257261,4080,4100,4045.15,4083.15,4083.15,257217,,,,,,,,,,,,,,,
08-12-2022,4010,4045,4003.35,4025,4025,895075,4090,4090,4015.4,4037.2,4037.2,177556,,,,,,,,,,,,,,,
09-12-2022,4044,4094,3941.5,3996.8,3996.8,2129800,4054.9,4057.75,3983.4,4002.4,4002.4,265654,,,,,,,,,,,,,,,
12-12-2022,3997,4031.9,3968.75,4016.7,4016.7,802499,3980,4074,3948,4057.35,4057.35,242444,,,,,,,,,,,,,,,
13-12-2022,4027.800049,4072,4011.6,4060.2,4060.2,1215308,4060,4120,4060,4108.95,4108.95,275766,,,,,,,,,,,,,,,
14-12-2022,4076,4092.05,4040,4055.8,4055.8,1114492,4089.1,4209.85,4089.1,4201.1,4201.1,545140,,,,,,,,,,,,,,,
15-12-2022,4055.800049,4073.05,4025,4043.75,4043.75,866138,4209,4228.95,4151,4182,4182,312108,,,,,,,,,,,,,,,
16-12-2022,4018.899902,4047.9,3944.05,3980.8,3980.8,1598960,4140.65,4150.5,3956,3990,3990,380722,,,,,,,,,,,,,,,
19-12-2022,3988,4104,3971.45,4075.3,4075.3,1643404,4020,4099.9,4000,4090.2,4090.2,300724,,,,,,,,,,,,,,,
20-12-2022,4095,4172,4066.4,4165.3,4165.3,3778426,4088,4138.6,4052.15,4089.55,4089.55,217791,,,,,,,,,,,,,,,
21-12-2022,4175,4190,3883.25,3901.95,3901.95,3585883,4094,4109.95,3975.15,3993.2,3993.2,252192,,,,,,,,,,,,,,,
22-12-2022,3948,3948,3817.05,3868.55,3868.55,2879658,4008,4029,3905.5,3921.55,3921.55,283003,,,,,,,,,,,,,,,
23-12-2022,3822,3848,3616.8,3642.2,3642.2,3036157,3896.55,3911.75,3835,3875.6,3875.6,255257,,,,,,,,,,,,,,,
26-12-2022,3653,3744.9,3620,3716.75,3716.75,2162662,3896,4049,3871,4036.6,4036.6,205540,,,,,,,,,,,,,,,
27-12-2022,3732.449951,3797.9,3695.05,3769.65,3769.65,1804911,4060,4094,4005,4074.6,4074.6,168072,,,,,,,,,,,,,,,
28-12-2022,3756.050049,3825,3745,3797.7,3797.7,1377950,4077.95,4077.95,4007.4,4017.75,4017.75,130503,,,,,,,,,,,,,,,
29-12-2022,3790,3825,3748.1,3810.6,3810.6,1531692,4003.15,4207.95,3971.8,4178.3,4178.3,475188,,,,,,,,,,,,,,,
30-12-2022,3829.699951,3898,3822.05,3858.35,3858.35,1528747,4178,4195,4025.15,4068.75,4068.75,387431,,,,,,,,,,,,,,,
02-01-2023,3870,3874,3822.55,3841.2,3841.2,923051,4075,4117.95,4055,4072.75,4072.75,119118,,,,,,,,,,,,,,,
03-01-2023,3841.899902,3852.85,3791,3830.95,3830.95,799905,4072.75,4099,4044,4060.9,4060.9,114013,,,,,,,,,,,,,,,
04-01-2023,3839,3874.95,3803.6,3827.05,3827.05,1028377,4049.95,4049.95,3916,3924.2,3924.2,740436,,,,,,,,,,,,,,,
05-01-2023,3827.050049,3842.4,3756.9,3829.8,3829.8,997006,3955,3964,3845.5,3857.8,3857.8,483903,,,,,,,,,,,,,,,
06-01-2023,3829,3868.25,3797.05,3824.25,3824.25,912159,3870,3930,3835,3842.5,3842.5,345746,,,,,,,,,,,,,,,
09-01-2023,3843,3880,3811.25,3855.3,3855.3,753981,3905.8,3915,3855.55,3879.55,3879.55,280205,,,,,,,,,,,,,,,
10-01-2023,3859,3862.05,3555,3646.9,3646.9,3595798,3898,3919.45,3861,3877.4,3877.4,357855,,,,,,,,,,,,,,,
11-01-2023,3660,3664.5,3560.1,3635.8,3635.8,2226506,3896,3910,3860,3872.9,3872.9,156403,,,,,,,,,,,,,,,
12-01-2023,3642.5,3679,3612,3647.2,3647.2,1199785,3892,3925.5,3863,3911.8,3911.8,212520,,,,,,,,,,,,,,,
13-01-2023,3651.199951,3736.05,3642.2,3721.15,3721.15,1364712,3925,3929.65,3850.1,3863.7,3863.7,283280,,,,,,,,,,,,,,,
16-01-2023,3720,3739.95,3600,3619.8,3619.8,1863848,3690,3748,3645.2,3678.35,3678.35,1809273,,,,,,,,,,,,,,,
17-01-2023,3620,3649.6,3560.2,3639.35,3639.35,1668381,3681.05,3733.85,3675,3689.8,3689.8,463947,,,,,,,,,,,,,,,
18-01-2023,3648,3648,3527.1,3596.7,3596.7,3652240,3708.25,3720,3641.5,3648.6,3648.6,407988,,,,,,,,,,,,,,,
19-01-2023,3470,3537.7,3426.7,3463.55,3463.55,3696319,3647,3647.8,3560,3565.1,3565.1,583389,,,,,,,,,,,,,,,
20-01-2023,3450,3477.35,3440.95,3456.15,3456.15,1510258,3571.95,3580,3510,3513.75,3513.75,522635,,,,,,,,,,,,,,,
23-01-2023,3443.050049,3460,3412.55,3436.35,3436.35,974857,3525,3529.75,3425,3434,3434,892606,,,,,,,,,,,,,,,
24-01-2023,3447.449951,3508,3430,3442,3442,1518123,3450,3578,3441,3513.5,3513.5,768031,,,,,,,,,,,,,,,
25-01-2023,3422,3428,3315,3388.95,3388.95,3686439,3531.1,3554.5,3507.3,3515.1,3515.1,474769,,,,,,,,,,,,,,,
27-01-2023,3335,3346.5,2712,2761.45,2761.45,14764368,3532.7,3584,3518.5,3562.35,3562.35,308090,,,,,,,,,,,,,,,
30-01-2023,2850,3037.55,2665,2892.85,2892.85,20947906,3574.9,3575,3486.05,3546.3,3546.3,272767,,,,,,,,,,,,,,,
31-01-2023,2980,3073.6,2906,2973.9,2973.9,11568020,3555.05,3582.15,3492.65,3502.3,3502.3,537429,,,,,,,,,,,,,,,
01-02-2023,2995,3010.75,1941.2,2135.35,2135.35,13525314,3558,3580,3469.7,3551.35,3551.35,361698,,,,,,,,,,,,,,,
02-02-2023,2348.850098,2348.85,1494.75,1565.25,1565.25,34474080,3547,3577.8,3485,3502.9,3502.9,222692,,,,,,,,,,,,,,,
03-02-2023,1490,1679.9,1017.45,1586.8,1586.8,43885579,3517.65,3522.9,3465,3470.35,3470.35,322648,,,,,,,,,,,,,,,
06-02-2023,1575,1615,1435.2,1572.7,1572.7,19308603,3476.5,3488.4,3432,3441.5,3441.5,314363,,,,,,,,,,,,,,,
07-02-2023,1571,1962.7,1525.6,1802.95,1802.95,19188072,3471.5,3475,3438.95,3440.9,3440.9,369288,,,,,,,,,,,,,,,
08-02-2023,1869.849976,2222.15,1840.85,2164.25,2164.25,19173006,3449,3510,3446.05,3458.6,3458.6,217382,,,,,,,,,,,,,,,
09-02-2023,2168,2168,1731.4,1925.7,1925.7,18279862,3469.65,3544.15,3465.15,3482.05,3482.05,372567,,,,,,,,,,,,,,,
10-02-2023,1769,1990,1733.15,1846.95,1846.95,11334878,3499.5,3544.25,3490.6,3498.85,3498.85,393156,,,,,,,,,,,,,,,
13-02-2023,1850,1921.7,1662.25,1717.65,1717.65,12210940,3502,3510,3483,3495.2,3495.2,252484,,,,,,,,,,,,,,,
14-02-2023,1735,1889,1611.35,1749.7,1749.7,14579030,3509,3512,3472,3482.7,3482.7,496970,,,,,,,,,,,,,,,
15-02-2023,1780,1824.4,1750,1779.1,1779.1,7636578,3480,3568.65,3464.3,3545.6,3545.6,211636,,,,,,,,,,,,,,,
16-02-2023,1820,1874.95,1790,1796.6,1796.6,5578515,3546,3567.95,3535,3541.7,3541.7,315147,,,,,,,,,,,,,,,
17-02-2023,1800,1815.85,1703.2,1722.7,1722.7,5392513,3530,3567.7,3515,3545,3545,202556,,,,,,,,,,,,,,,
