Date,Adani enterprises_Open,Adani enterprises_High,Adani enterprises_Low,Adani enterprises_Close,Adani enterprises_Adj Close,Adani enterprises_Volume,D-mart_Open,D-mart_High,D-mart_Low,D-mart_Close,D-mart_Adj Close,D-mart_Volume,,,,,,,,,,,,,,,
08-04-2022,2115,2176,2105.25,2170.95,2170.03,1924054,4165,4208,4118,4146.25,4146.25,358035,,,,,,,,,,,,,,,
11-04-2022,2181.850098,2200,2158.5,2180.2,2179.27,1615715,4136.8,4200,4130.05,4171.6,4171.6,202944,,,,,,,,,,,,,,,
12-04-2022,2188,2219,2155,2196.95,2196.02,2632324,4174.95,4174.95,4075,4088.7,4088.7,228548,,,,,,,,,,,,,,,
13-04-2022,2210,2217.15,2173.45,2199.45,2198.52,992512,4101,4117.95,4081.7,4090.9,4090.9,157516,,,,,,,,,,,,,,,
18-04-2022,2179.800049,2240,2156.75,2233.85,2232.9,1747434,4065,4079,4009,4056,4056,193904,,,,,,,,,,,,,,,
19-04-2022,2245,2255,2140.1,2168.3,2167.38,1639219,4089.9,4131.9,3975,4008.9,4008.9,222195,,,,,,,,,,,,,,,
20-04-2022,2178,2207.95,2161.9,2183.95,2183.02,1119025,4026,4065,4000,4054.8,4054.8,222817,,,,,,,,,,,,,,,
21-04-2022,2216,2293.55,2203.9,2286.35,2285.38,2243636,4075,4080,4015,4030.25,4030.25,209196,,,,,,,,,,,,,,,
22-04-2022,2297,2306,2265,2273.3,2272.33,1786042,4028.65,4060.05,3995.75,4028.85,4028.85,210640,,,,,,,,,,,,,,,
25-04-2022,2259.949951,2295,2242.6,2284.2,2283.23,1683622,4000,4022.35,3975.05,3989.2,3989.2,204726,,,,,,,,,,,,,,,
26-04-2022,2297,2413.9,2295.1,2395.3,2394.28,3199358,4009.8,4050,3994.4,4044.25,4044.25,198101,,,,,,,,,,,,,,,
27-04-2022,2404.949951,2420.95,2325,2334.1,2333.11,2559876,4006.1,4024.35,3960,3977.7,3977.7,169916,,,,,,,,,,,,,,,
28-04-2022,2359.850098,2389.9,2336.3,2378.55,2377.54,1679893,4023.9,4054,3995.55,4024.55,4024.55,247751,,,,,,,,,,,,,,,
29-04-2022,2389,2394.15,2301.5,2332,2331.01,1916180,4048.9,4085,3906,3944.25,3944.25,238651,,,,,,,,,,,,,,,
02-05-2022,2325,2362.3,2311,2339.5,2338.51,1006544,3939.6,3997.8,3889,3983.35,3983.35,265831,,,,,,,,,,,,,,,
04-05-2022,2358.699951,2362.9,2233.05,2253.8,2252.84,1744686,4000,4023.95,3850.2,3867.15,3867.15,270400,,,,,,,,,,,,,,,
